rank	total	cum	word
1	29546	3.49%	и
2	25255	6.48%	он
3	22249	9.10%	в
4	18970	11.35%	не
5	16215	13.26%	на
6	15066	15.04%	что
7	11570	16.41%	я
8	11160	17.73%	с
9	8056	18.68%	она
10	7852	19.61%	они
11	7129	20.45%	ты
12	6864	21.26%	как
13	6560	22.04%	это
14	5785	22.72%	а
15	5735	23.40%	к
16	5634	24.06%	сказать
17	5570	24.72%	но
18	5200	25.34%	у
19	4516	25.87%	вы
20	4388	26.39%	за
21	4358	26.90%	все
22	4314	27.41%	по
23	4302	27.92%	из
24	4165	28.41%	то
25	4016	28.89%	мы
26	3935	29.35%	мочь
27	3726	29.79%	от
28	3478	30.21%	так
29	3429	30.61%	этот
30	3234	30.99%	который
31	3048	31.35%	весь
32	2965	31.70%	быть
33	2937	32.05%	свой
34	2904	32.39%	еще
35	2853	32.73%	же
36	2672	33.05%	видеть
37	2631	33.36%	знать
38	2623	33.67%	о
39	2581	33.97%	бы
40	2574	34.28%	был
41	2513	34.57%	его
42	2474	34.87%	себя
43	2418	35.15%	рука
44	2400	35.43%	тот
45	2396	35.72%	когда
46	2355	36.00%	да
47	2284	36.27%	только
48	2143	36.52%	если
49	2087	36.77%	глаз
50	2083	37.01%	чтобы
51	2044	37.25%	такой
52	2016	37.49%	было
53	1965	37.72%	уже
54	1878	37.95%	палочка
55	1783	38.16%	спросить
56	1767	38.37%	профессор
57	1685	38.56%	голова
58	1685	38.76%	говорить
59	1660	38.96%	нет
60	1641	39.15%	хотеть
61	1635	39.35%	смотреть
62	1617	39.54%	лицо
63	1599	39.73%	до
64	1597	39.92%	кто
65	1552	40.10%	дверь
66	1550	40.28%	делать
67	1544	40.46%	ответить
68	1541	40.65%	ну
69	1500	40.82%	раз
70	1494	41.00%	для
71	1493	41.18%	голос
72	1465	41.35%	стать
73	1464	41.52%	очень
74	1406	41.69%	думать
75	1390	41.85%	ни
76	1370	42.02%	мой
77	1349	42.17%	время
78	1345	42.33%	друг
79	1288	42.49%	тут
80	1273	42.64%	самый
81	1269	42.79%	волшебный
82	1262	42.94%	вот
83	1258	43.08%	другой
84	1234	43.23%	теперь
85	1218	43.37%	ничто
86	1202	43.52%	снова
87	1176	43.65%	со
88	1169	43.79%	сам
89	1158	43.93%	под
90	1093	44.06%	слышать
91	1092	44.19%	там
92	1077	44.32%	где
93	1077	44.44%	ли
94	1072	44.57%	даже
95	1056	44.69%	мистер
96	1048	44.82%	человек
97	1028	44.94%	стол
98	1018	45.06%	была
99	1006	45.18%	стоять
100	1004	45.30%	чем
101	1003	45.42%	год
102	999	45.53%	хороший
103	996	45.65%	пойти
104	988	45.77%	здесь
105	962	45.88%	взгляд
106	952	45.99%	нога
107	946	46.11%	или
108	946	46.22%	сейчас
109	945	46.33%	слово
110	936	46.44%	дело
111	935	46.55%	казаться
112	908	46.66%	просто
113	889	46.76%	должен
114	887	46.87%	место
115	887	46.97%	какой
116	875	47.08%	вид
117	870	47.18%	ведь
118	868	47.28%	идти
119	865	47.38%	тоже
120	857	47.48%	были
121	853	47.59%	пытаться
122	847	47.69%	сторона
123	835	47.78%	произнести
124	829	47.88%	через
125	821	47.98%	первый
126	812	48.08%	перед
127	811	48.17%	волшебник
128	806	48.27%	комната
129	802	48.36%	над
130	802	48.46%	после
131	797	48.55%	сидеть
132	796	48.64%	пока
133	793	48.74%	больше
134	793	48.83%	миссис
135	790	48.92%	брать
136	788	49.02%	мантия
137	786	49.11%	надо
138	783	49.20%	темный
139	783	49.30%	никто
140	780	49.39%	потом
141	773	49.48%	заметить
142	769	49.57%	твой
143	765	49.66%	во
144	763	49.75%	что-то
145	758	49.84%	ее
146	756	49.93%	понять
147	756	50.02%	день
148	747	50.11%	школа
149	741	50.20%	смерть
150	738	50.28%	глядеть
151	694	50.36%	гермион
152	693	50.45%	вернуться
153	689	50.53%	будто
154	688	50.61%	конец
155	688	50.69%	большой
156	679	50.77%	почему
157	669	50.85%	вдруг
158	666	50.93%	без
159	660	51.01%	дом
160	655	51.08%	конечно
161	652	51.16%	словно
162	651	51.24%	будет
163	646	51.31%	остаться
164	643	51.39%	понимать
165	643	51.47%	начать
166	642	51.54%	нужный
167	635	51.62%	последний
168	631	51.69%	поднять
169	626	51.77%	никогда
170	624	51.84%	правда
171	622	51.91%	их
172	617	51.99%	об
173	614	52.06%	черный
174	608	52.13%	совсем
175	603	52.20%	сила
176	603	52.27%	выйти
177	595	52.34%	минута
178	590	52.41%	каждый
179	584	52.48%	при
180	583	52.55%	ваш
181	582	52.62%	замок
182	581	52.69%	можно
183	579	52.76%	потому
184	578	52.82%	хотя
185	576	52.89%	стена
186	570	52.96%	почти
187	565	53.03%	наш
188	564	53.09%	свет
189	552	53.16%	окно
190	549	53.22%	рядом
191	549	53.29%	тогда
192	545	53.35%	воздух
193	544	53.42%	наконец
194	543	53.48%	пол
195	542	53.55%	урок
196	535	53.61%	прийти
197	534	53.67%	дядя
198	524	53.73%	плечо
199	519	53.79%	новый
200	519	53.86%	волос
201	519	53.92%	книга
202	518	53.98%	подумать
203	517	54.04%	уж
204	515	54.10%	оказаться
205	514	54.16%	найти
206	510	54.22%	опять
207	505	54.28%	палец
208	500	54.34%	коридор
209	499	54.40%	лежать
210	498	54.46%	однако
211	498	54.52%	отец
212	489	54.57%	зал
213	478	54.63%	полный
214	477	54.69%	воскликнуть
215	475	54.74%	между
216	475	54.80%	дать
217	470	54.86%	повернуться
218	469	54.91%	прямо
219	468	54.97%	сразу
220	465	55.02%	огромный
221	464	55.08%	рот
222	464	55.13%	спина
223	464	55.19%	жизнь
224	461	55.24%	длинный
225	458	55.29%	ночь
226	457	55.35%	считать
227	457	55.40%	успеть
228	455	55.46%	заклятие
229	455	55.51%	иметь
230	454	55.56%	продолжать
231	451	55.62%	чуть
232	447	55.67%	прийтись
233	445	55.72%	падать
234	445	55.77%	кабинет
235	444	55.83%	убить
236	444	55.88%	час
237	443	55.93%	открыть
238	438	55.98%	назад
239	438	56.04%	подойти
240	433	56.09%	держать
241	432	56.14%	пройти
242	432	56.19%	быстро
243	431	56.24%	нос
244	431	56.29%	какой-то
245	427	56.34%	появиться
246	427	56.39%	пора
247	427	56.44%	имя
248	425	56.49%	земля
249	425	56.54%	давать
250	423	56.59%	ученик
251	421	56.64%	маленький
252	419	56.69%	точно
253	419	56.74%	ухо
254	417	56.79%	шаг
255	417	56.84%	узнать
256	416	56.89%	крикнуть
257	415	56.94%	магия
258	414	56.99%	гостиная
259	407	57.03%	стараться
260	406	57.08%	сюда
261	403	57.13%	заклинание
262	403	57.18%	ждать
263	402	57.23%	метла
264	402	57.27%	письмо
265	402	57.32%	кто-то
266	402	57.37%	лестница
267	401	57.42%	писать
268	400	57.46%	всегда
269	400	57.51%	куда
270	398	57.56%	мысль
271	397	57.60%	случай
272	396	57.65%	сегодня
273	394	57.70%	никакой
274	393	57.74%	лишь
275	390	57.79%	получить
276	388	57.84%	войти
277	385	57.88%	просить
278	384	57.93%	едва
279	384	57.97%	старый
280	383	58.02%	взглянуть
281	381	58.06%	вместе
282	378	58.11%	хоть
283	376	58.15%	мимо
284	375	58.20%	решить
285	371	58.24%	вокруг
286	371	58.28%	подняться
287	369	58.33%	прошептать
288	369	58.37%	мальчик
289	368	58.41%	наверное
290	367	58.46%	секунда
291	367	58.50%	встать
292	364	58.54%	похожий
293	364	58.59%	помочь
294	360	58.63%	забыть
295	359	58.67%	сквозь
296	359	58.71%	странный
297	359	58.76%	улыбнуться
298	359	58.80%	про
299	359	58.84%	более
300	357	58.88%	рассказать
301	357	58.93%	из-за
302	356	58.97%	вечер
303	350	59.01%	слишком
304	350	59.05%	вопрос
305	348	59.09%	уверенный
306	348	59.13%	оставить
307	346	59.17%	команда
308	346	59.21%	золотой
309	345	59.26%	тихо
310	344	59.30%	бояться
311	344	59.34%	значит
312	343	59.38%	дементор
313	342	59.42%	тело
314	341	59.46%	оно
315	341	59.50%	мад
316	340	59.54%	всякий
317	340	59.58%	оглянуться
318	338	59.62%	случиться
319	338	59.66%	уйти
320	338	59.70%	исчезнуть
321	337	59.74%	ладно
322	336	59.78%	бросить
323	333	59.82%	чувствовать
324	333	59.86%	сэр
325	331	59.90%	именно
326	329	59.93%	явно
327	326	59.97%	надеяться
328	324	60.01%	громко
329	324	60.05%	второй
330	323	60.09%	высокий
331	323	60.13%	вести
332	322	60.16%	следовать
333	322	60.20%	сесть
334	321	60.24%	кивнуть
335	321	60.28%	немного
336	317	60.32%	много
337	316	60.35%	вперед
338	315	60.39%	улыбка
339	315	60.43%	класс
340	313	60.46%	кресло
341	313	60.50%	боль
342	312	60.54%	похоже
343	310	60.57%	схватить
344	310	60.61%	работа
345	307	60.65%	выглядеть
346	307	60.68%	пустой
347	305	60.72%	слушать
348	304	60.76%	туда
349	304	60.79%	жить
350	302	60.83%	раздаться
351	301	60.86%	удаться
352	300	60.90%	читать
353	299	60.93%	стоить
354	297	60.97%	вода
355	297	61.00%	шрам
356	295	61.04%	карман
357	294	61.07%	кровь
358	294	61.11%	помнить
359	293	61.14%	магл
360	292	61.18%	следующий
361	292	61.21%	ужас
362	288	61.25%	остальной
363	286	61.28%	ответ
364	285	61.31%	оставаться
365	284	61.35%	сердце
366	283	61.38%	поймать
367	283	61.41%	хотеться
368	282	61.45%	кроме
369	282	61.48%	собираться
370	282	61.51%	вещь
371	281	61.55%	вниз
372	281	61.58%	произойти
373	280	61.61%	огонь
374	279	61.65%	живой
375	279	61.68%	утро
376	278	61.71%	целый
377	276	61.74%	известный
378	276	61.78%	легкий
379	274	61.81%	остановиться
380	273	61.84%	вообще
381	273	61.87%	кровать
382	273	61.91%	спать
383	272	61.94%	затем
384	272	61.97%	внимание
385	270	62.00%	ожидать
386	269	62.03%	эльф
387	269	62.07%	помощь
388	268	62.10%	нельзя
389	268	62.13%	тетя
390	267	62.16%	прежде
391	267	62.19%	бормотать
392	267	62.22%	обернуться
393	266	62.26%	скорее
394	266	62.29%	неделя
395	266	62.32%	равный
396	265	62.35%	медленно
397	265	62.38%	улица
398	264	62.41%	крик
399	264	62.44%	брат
400	263	62.47%	мать
401	261	62.51%	протянуть
402	261	62.54%	зеленый
403	261	62.57%	готовый
404	260	62.60%	угол
405	260	62.63%	небо
406	260	62.66%	совершенно
407	260	62.69%	объяснить
408	259	62.72%	красный
409	259	62.75%	перо
410	259	62.78%	почувствовать
411	258	62.81%	родитель
412	257	62.84%	вспомянуть
413	256	62.87%	спальня
414	256	62.90%	искать
415	256	62.93%	камень
416	255	62.96%	дерево
417	255	62.99%	сообщить
418	255	63.02%	разговор
419	254	63.05%	пожалуйста
420	253	63.08%	мир
421	251	63.11%	магический
422	251	63.14%	спасибо
423	251	63.17%	поле
424	250	63.20%	снегга
425	250	63.23%	уметь
426	250	63.26%	дальше
427	249	63.29%	квиддич
428	249	63.32%	важный
429	249	63.35%	обратно
430	248	63.38%	пергамент
431	247	63.41%	грудь
432	246	63.44%	лес
433	245	63.47%	путь
434	245	63.50%	белый
435	245	63.52%	зелье
436	244	63.55%	игра
437	244	63.58%	дракон
438	244	63.61%	показать
439	242	63.64%	хозяин
440	241	63.67%	существо
441	240	63.70%	звук
442	240	63.72%	уставиться
443	240	63.75%	холодный
444	240	63.78%	любить
445	239	63.81%	любой
446	239	63.84%	раньше
447	238	63.87%	дорога
448	235	63.89%	собственный
449	234	63.92%	верный
450	234	63.95%	находиться
451	234	63.98%	хагрид
452	233	64.00%	зачем
453	232	64.03%	повторить
454	232	64.06%	губа
455	232	64.09%	происходить
456	232	64.11%	мама
457	231	64.14%	лучший
458	231	64.17%	потолок
459	231	64.20%	умереть
460	231	64.22%	плохой
461	231	64.25%	скоро
462	230	64.28%	защита
463	230	64.30%	часть
464	229	64.33%	душа
465	229	64.36%	закрыть
466	229	64.39%	кухня
467	229	64.41%	ко
468	229	64.44%	сов
469	227	64.47%	разве
470	227	64.49%	попасть
471	225	64.52%	общий
472	225	64.55%	мгновение
473	224	64.57%	страх
474	223	64.60%	миг
475	223	64.63%	слеза
476	223	64.65%	директор
477	223	64.68%	верить
478	222	64.70%	выходить
479	222	64.73%	единственный
480	222	64.76%	желать
481	220	64.78%	колено
482	220	64.81%	вверх
483	220	64.84%	заставить
484	220	64.86%	что-нибудь
485	219	64.89%	броситься
486	219	64.91%	вздохнуть
487	218	64.94%	портрет
488	218	64.96%	слегка
489	218	64.99%	настоящий
490	217	65.02%	ясный
491	217	65.04%	дрожать
492	214	65.07%	семья
493	213	65.09%	громкий
494	213	65.12%	змея
495	213	65.14%	по-прежнему
496	212	65.17%	позволить
497	211	65.19%	каменный
498	210	65.22%	бежать
499	209	65.24%	всего
500	209	65.27%	—
501	209	65.29%	тон
502	208	65.32%	отправиться
503	208	65.34%	откуда
504	208	65.36%	чемодан
505	207	65.39%	прошлый
506	207	65.41%	девочка
507	206	65.44%	резко
508	205	65.46%	пара
509	205	65.49%	улыбаться
510	205	65.51%	ставить
511	204	65.53%	сын
512	204	65.56%	приняться
513	204	65.58%	опасный
514	203	65.61%	ладонь
515	203	65.63%	очки
516	203	65.66%	вроде
517	202	65.68%	страшный
518	202	65.70%	принять
519	202	65.73%	меч
520	202	65.75%	среди
521	201	65.77%	против
522	201	65.80%	прятать
523	201	65.82%	играть
524	201	65.85%	сон
525	199	65.87%	порядок
526	199	65.89%	проговорить
527	198	65.92%	двинуться
528	198	65.94%	некоторый
529	198	65.96%	стул
530	197	65.99%	чувство
531	197	66.01%	труд
532	196	66.03%	разумеется
533	196	66.06%	серебряный
534	196	66.08%	толпа
535	196	66.10%	крыло
536	194	66.12%	ж
537	193	66.15%	трудный
538	191	66.17%	согласиться
539	191	66.19%	сей
540	190	66.22%	тяжелый
541	190	66.24%	третий
542	189	66.26%	память
543	189	66.28%	простить
544	189	66.30%	пусть
545	189	66.33%	история
546	188	66.35%	вытащить
547	188	66.37%	закончить
548	188	66.39%	терять
549	187	66.42%	этаж
550	187	66.44%	отозваться
551	187	66.46%	ходить
552	187	66.48%	башня
553	186	66.50%	план
554	186	66.53%	давно
555	185	66.55%	темнота
556	185	66.57%	судить
557	185	66.59%	добрый
558	185	66.61%	обычный
559	185	66.64%	работать
560	184	66.66%	значить
561	184	66.68%	игрок
562	184	66.70%	лоб
563	184	66.72%	пробовать
564	183	66.74%	звучать
565	183	66.77%	отсюда
566	183	66.79%	яйцо
567	182	66.81%	сильный
568	182	66.83%	вслед
569	182	66.85%	матч
570	181	66.87%	занять
571	181	66.89%	тишина
572	181	66.92%	действительно
573	181	66.94%	поверить
574	181	66.96%	язык
575	180	66.98%	сильно
576	179	67.00%	интересный
577	179	67.02%	момент
578	179	67.04%	котел
579	179	67.06%	сумка
580	179	67.09%	мяч
581	178	67.11%	министр
582	178	67.13%	мешать
583	177	67.15%	разговаривать
584	177	67.17%	поэтому
585	177	67.19%	хорошо
586	177	67.21%	вскочить
587	176	67.23%	вместо
588	175	67.25%	фигура
589	175	67.27%	озеро
590	175	67.29%	долго
591	175	67.31%	факультет
592	174	67.34%	мера
593	174	67.36%	пожиратель
594	174	67.38%	зуб
595	173	67.40%	ум
596	173	67.42%	возразить
597	173	67.44%	двигаться
598	173	67.46%	добавить
599	172	67.48%	достать
600	172	67.50%	заявить
601	172	67.52%	хвост
602	172	67.54%	смех
603	172	67.56%	право
604	172	67.58%	вновь
605	172	67.60%	очко
606	171	67.62%	висеть
607	171	67.64%	спокойно
608	171	67.66%	называть
609	170	67.68%	ребенок
610	170	67.70%	заговорить
611	169	67.72%	курс
612	168	67.74%	возможность
613	168	67.76%	экзамен
614	168	67.78%	искусство
615	167	67.80%	послышаться
616	167	67.82%	бледный
617	167	67.84%	довольно
618	166	67.86%	поскольку
619	166	67.88%	рассказывать
620	165	67.90%	преподаватель
621	165	67.92%	лететь
622	164	67.94%	уходить
623	164	67.96%	отдать
624	164	67.98%	кто-нибудь
625	163	68.00%	провести
626	163	68.02%	наблюдать
627	162	68.03%	надежда
628	162	68.05%	становиться
629	162	68.07%	принести
630	161	68.09%	наверняка
631	160	68.11%	больший
632	160	68.13%	добраться
633	160	68.15%	звать
634	160	68.17%	кричать
635	159	68.19%	столько
636	159	68.20%	внутри
637	159	68.22%	покинуть
638	159	68.24%	обнаружить
639	159	68.26%	знакомый
640	159	68.28%	удар
641	159	68.30%	хижина
642	158	68.32%	шея
643	157	68.34%	пламя
644	157	68.35%	сестра
645	157	68.37%	яркий
646	157	68.39%	дорогой
647	157	68.41%	папа
648	157	68.43%	близкий
649	157	68.45%	месяц
650	157	68.47%	встреча
651	157	68.48%	домашний
652	156	68.50%	наступить
653	156	68.52%	мертвый
654	156	68.54%	все-таки
655	155	68.56%	направить
656	155	68.58%	женщина
657	155	68.59%	страница
658	155	68.61%	предложить
659	155	68.63%	перестать
660	155	68.65%	сомневаться
661	155	68.67%	буду
662	154	68.69%	мало
663	154	68.70%	цвет
664	154	68.72%	слизеринец
665	154	68.74%	обычно
666	154	68.76%	предмет
667	153	68.78%	спустя
668	153	68.80%	выражение
669	153	68.81%	поспешить
670	152	68.83%	вовсе
671	152	68.85%	использовать
672	151	68.87%	внезапно
673	151	68.88%	совать
674	151	68.90%	подниматься
675	151	68.92%	рад
676	151	68.94%	начинать
677	151	68.96%	опустить
678	151	68.97%	речь
679	151	68.99%	проходить
680	150	69.01%	шум
681	150	69.03%	нравиться
682	149	69.04%	пользоваться
683	149	69.06%	тихий
684	149	69.08%	гость
685	149	69.10%	показывать
686	149	69.12%	учиться
687	149	69.13%	крепко
688	149	69.15%	ужасный
689	149	69.17%	позади
690	148	69.19%	школьный
691	148	69.20%	край
692	147	69.22%	держаться
693	147	69.24%	ударить
694	147	69.26%	явиться
695	147	69.27%	гоблина
696	147	69.29%	близнец
697	146	69.31%	обратиться
698	146	69.32%	бровь
699	146	69.34%	ветер
700	146	69.36%	вырыться
701	145	69.38%	снять
702	145	69.39%	тень
703	145	69.41%	палатка
704	145	69.43%	снитч
705	145	69.44%	задание
706	145	69.46%	по-моему
707	144	69.48%	возможно
708	144	69.50%	спасти
709	143	69.51%	замереть
710	143	69.53%	счастливый
711	143	69.55%	учебник
712	143	69.56%	гораздо
713	142	69.58%	способный
714	142	69.60%	простой
715	142	69.61%	прятаться
716	142	69.63%	пожать
717	141	69.65%	гореть
718	141	69.66%	летать
719	140	69.68%	мгновенно
720	140	69.70%	никак
721	140	69.71%	покачать
722	140	69.73%	дух
723	140	69.75%	прочь
724	139	69.76%	впрочем
725	139	69.78%	толстый
726	139	69.80%	полагать
727	139	69.81%	начало
728	139	69.83%	паук
729	139	69.85%	купить
730	138	69.86%	ход
731	138	69.88%	тарелка
732	138	69.89%	кусок
733	138	69.91%	тяжело
734	137	69.93%	будут
735	137	69.94%	представлять
736	137	69.96%	очередной
737	137	69.98%	тайна
738	137	69.99%	будем
739	136	70.01%	неужели
740	136	70.02%	клетка
741	135	70.04%	особенно
742	135	70.06%	удивиться
743	134	70.07%	класть
744	134	70.09%	хватить
745	134	70.10%	открыться
746	134	70.12%	стекло
747	133	70.13%	камина
748	133	70.15%	чар
749	133	70.17%	волшебство
750	133	70.18%	шепот
751	133	70.20%	магазин
752	133	70.21%	кольцо
753	133	70.23%	кентавр
754	132	70.24%	чтото
755	132	70.26%	сознание
756	132	70.28%	спуститься
757	132	70.29%	возникнуть
758	132	70.31%	завопить
759	132	70.32%	привести
760	132	70.34%	ярость
761	132	70.35%	бывать
762	131	70.37%	обращаться
763	131	70.38%	подарок
764	131	70.40%	указать
765	131	70.42%	спрашивать
766	131	70.43%	закричать
767	130	70.45%	зеркало
768	130	70.46%	сердито
769	130	70.48%	дыхание
770	130	70.49%	ряд
771	129	70.51%	выскочить
772	129	70.52%	шепнуть
773	129	70.54%	удовольствие
774	129	70.55%	занятие
775	129	70.57%	погибнуть
776	129	70.58%	волшебница
777	129	70.60%	немедленно
778	129	70.61%	эра
779	129	70.63%	послушать
780	129	70.64%	из-под
781	128	70.66%	молча
782	128	70.67%	кожа
783	128	70.69%	половина
784	128	70.71%	велеть
785	128	70.72%	напасть
786	127	70.74%	густой
787	127	70.75%	где-то
788	127	70.77%	камин
789	127	70.78%	ах
790	127	70.80%	еда
791	127	70.81%	хватать
792	127	70.83%	сиять
793	127	70.84%	правило
794	126	70.86%	менее
795	126	70.87%	медальон
796	126	70.89%	прибавить
797	126	70.90%	ага
798	125	70.91%	торопливо
799	125	70.93%	кулак
800	125	70.94%	узнавать
801	125	70.96%	газета
802	125	70.97%	ради
803	125	70.99%	собраться
804	125	71.00%	завтра
805	125	71.02%	свободный
806	125	71.03%	учитель
807	125	71.05%	поглядеть
808	124	71.06%	тонкий
809	124	71.08%	подобный
810	124	71.09%	встретить
811	124	71.11%	размер
812	123	71.12%	прав
813	123	71.14%	попытка
814	123	71.15%	счастье
815	123	71.16%	молчать
816	123	71.18%	вход
817	123	71.19%	фотография
818	123	71.21%	поспешно
819	123	71.22%	поезд
820	123	71.24%	дышать
821	122	71.25%	донестись
822	122	71.27%	образ
823	122	71.28%	способ
824	122	71.29%	опуститься
825	122	71.31%	оттуда
826	122	71.32%	отойти
827	122	71.34%	подтвердить
828	122	71.35%	часы
829	122	71.37%	дневник
830	121	71.38%	мальчишка
831	121	71.40%	номер
832	121	71.41%	действовать
833	121	71.42%	мозг
834	121	71.44%	библиотека
835	121	71.45%	машина
836	121	71.47%	великан
837	120	71.48%	иначе
838	120	71.50%	серый
839	120	71.51%	вылететь
840	120	71.52%	видный
841	120	71.54%	каникулы
842	119	71.55%	встретиться
843	119	71.57%	проснуться
844	119	71.58%	молодой
845	119	71.59%	забрать
846	119	71.61%	разный
847	119	71.62%	молчание
848	119	71.64%	радостно
849	119	71.65%	карта
850	119	71.66%	придумать
851	118	71.68%	довольный
852	118	71.69%	повернуть
853	118	71.71%	поиск
854	118	71.72%	сотня
855	118	71.73%	трава
856	118	71.75%	одежда
857	118	71.76%	далеко
858	117	71.78%	постель
859	117	71.79%	очередь
860	117	71.80%	представить
861	117	71.82%	осторожно
862	117	71.83%	впереди
863	117	71.84%	ребята
864	117	71.86%	ка
865	116	71.87%	итак
866	116	71.89%	объявить
867	116	71.90%	помогать
868	116	71.91%	подождать
869	116	71.93%	захотеть
870	116	71.94%	прекрасный
871	116	71.95%	шляп
872	115	71.97%	радость
873	115	71.98%	чистый
874	115	72.00%	будешь
875	115	72.01%	вон
876	115	72.02%	долгий
877	115	72.04%	приятный
878	115	72.05%	побежать
879	115	72.06%	бок
880	114	72.08%	гнев
881	114	72.09%	обед
882	114	72.10%	крайний
883	114	72.12%	справиться
884	113	72.13%	необходимый
885	113	72.14%	связать
886	113	72.16%	переспросить
887	113	72.17%	глубокий
888	113	72.18%	завтрак
889	113	72.20%	заниматься
890	113	72.21%	невидимка
891	112	72.22%	низкий
892	112	72.24%	продолжить
893	112	72.25%	движение
894	112	72.26%	великий
895	112	72.28%	смысл
896	112	72.29%	следить
897	112	72.30%	слабый
898	112	72.32%	дождь
899	112	72.33%	короткий
900	111	72.34%	красивый
901	111	72.36%	серебристый
902	111	72.37%	чей
903	111	72.38%	вызвать
904	111	72.40%	насчет
905	111	72.41%	послать
906	111	72.42%	дожидаться
907	111	72.43%	гигантский
908	110	72.45%	внимательно
909	110	72.46%	крестража
910	110	72.47%	заглянуть
911	110	72.49%	привет
912	110	72.50%	невозможный
913	110	72.51%	раскрыть
914	110	72.53%	возвращаться
915	110	72.54%	глупый
916	110	72.55%	форма
917	110	72.56%	крыса
918	109	72.58%	какойто
919	109	72.59%	век
920	109	72.60%	золото
921	109	72.62%	компания
922	109	72.63%	проводить
923	109	72.64%	вспыхнуть
924	109	72.65%	отличный
925	109	72.67%	лето
926	108	72.68%	как-то
927	108	72.69%	причина
928	108	72.71%	вернуть
929	108	72.72%	солнце
930	108	72.73%	видимо
931	108	72.74%	зато
932	108	72.76%	серьезный
933	108	72.77%	весьма
934	108	72.78%	замечать
935	108	72.80%	приближаться
936	108	72.81%	изо
937	108	72.82%	требовать
938	108	72.83%	превратиться
939	108	72.85%	пригласить
940	107	72.86%	вдоль
941	107	72.87%	широкий
942	107	72.88%	член
943	107	72.90%	трансгрессировать
944	107	72.91%	взмахнуть
945	107	72.92%	ящик
946	107	72.93%	грязный
947	107	72.95%	мисс
948	107	72.96%	крестраж
949	107	72.97%	зельеварение
950	107	72.99%	круглый
951	107	73.00%	иногда
952	107	73.01%	сзади
953	107	73.02%	воспоминание
954	107	73.04%	нахмуриться
955	106	73.05%	новость
956	106	73.06%	впервые
957	106	73.07%	вполне
958	106	73.09%	желание
959	106	73.10%	прочесть
960	106	73.11%	получиться
961	106	73.12%	приходиться
962	106	73.14%	сова
963	105	73.15%	существовать
964	105	73.16%	появление
965	105	73.17%	удивление
966	105	73.19%	выход
967	105	73.20%	часто
968	105	73.21%	лорд
969	104	73.22%	убивать
970	104	73.24%	махнуть
971	104	73.25%	крошечный
972	104	73.26%	вряд
973	104	73.27%	выпустить
974	104	73.28%	след
975	104	73.30%	горло
976	104	73.31%	гриффиндорец
977	103	73.32%	волан-де-морт
978	103	73.33%	смеяться
979	103	73.35%	домовик
980	103	73.36%	коснуться
981	103	73.37%	дальний
982	103	73.38%	пророчество
983	102	73.39%	перевести
984	102	73.41%	кошка
985	102	73.42%	наверх
986	102	73.43%	интересоваться
987	102	73.44%	внизу
988	102	73.45%	опасность
989	102	73.47%	ломать
990	102	73.48%	туалет
991	102	73.49%	чай
992	102	73.50%	выиграть
993	101	73.51%	мраморный
994	101	73.53%	негромко
995	101	73.54%	наклониться
996	101	73.55%	совершить
997	101	73.56%	виноватый
998	101	73.57%	нечего
999	100	73.59%	вскоре
1000	100	73.60%	распахнуться
1001	100	73.61%	небольшой
1002	100	73.62%	понятный
1003	100	73.63%	щека
1004	100	73.65%	обращать
1005	100	73.66%	сжимать
1006	100	73.67%	приходить
1007	100	73.68%	чашка
1008	100	73.69%	видно
1009	99	73.70%	повести
1010	99	73.72%	назвать
1011	99	73.73%	счет
1012	99	73.74%	4
1013	99	73.75%	пожалуй
1014	99	73.76%	неприятный
1015	99	73.77%	стук
1016	99	73.79%	одновременно
1017	99	73.80%	цель
1018	98	73.81%	луч
1019	98	73.82%	рявкнуть
1020	98	73.83%	широко
1021	98	73.84%	надеть
1022	98	73.86%	деньги
1023	98	73.87%	чемпион
1024	97	73.88%	ощущение
1025	97	73.89%	следом
1026	97	73.90%	насколько
1027	97	73.91%	отпустить
1028	97	73.92%	снег
1029	97	73.94%	везти
1030	97	73.95%	твердо
1031	97	73.96%	птица
1032	97	73.97%	мрачно
1033	97	73.98%	э-
1034	96	73.99%	внутрь
1035	96	74.00%	понадобиться
1036	96	74.02%	принадлежать
1037	96	74.03%	браться
1038	96	74.04%	проверить
1039	96	74.05%	нечто
1040	96	74.06%	штука
1041	96	74.07%	запретный
1042	96	74.08%	ночной
1043	96	74.10%	идея
1044	96	74.11%	вынуть
1045	96	74.12%	предстоять
1046	96	74.13%	трибуна
1047	95	74.14%	осветить
1048	95	74.15%	площадка
1049	95	74.16%	фут
1050	95	74.17%	разбить
1051	95	74.19%	куча
1052	95	74.20%	вскрикнуть
1053	95	74.21%	наказание
1054	95	74.22%	отправить
1055	95	74.23%	краснеть
1056	95	74.24%	сначала
1057	94	74.25%	отношение
1058	94	74.26%	застыть
1059	94	74.27%	ощутить
1060	94	74.29%	напротив
1061	94	74.30%	выяснить
1062	94	74.31%	прыгать
1063	94	74.32%	главный
1064	94	74.33%	выбрать
1065	94	74.34%	связь
1066	94	74.35%	скрыться
1067	94	74.36%	напоминать
1068	94	74.37%	сверкать
1069	94	74.39%	привидение
1070	93	74.40%	невидимый
1071	93	74.41%	наложить
1072	93	74.42%	обратить
1073	93	74.43%	шкаф
1074	93	74.44%	тетушка
