rank	total	word
326	20	не надо было
327	20	бы если бы
328	20	что это не
329	20	и в то
330	20	ни к чему
331	20	за что не
332	20	в коем случае
333	20	если вы не
334	20	в общей гостиной
335	20	тот же миг
336	20	и к тому
337	20	уставился на него
338	20	что в этом
339	20	ничего не ответил
340	20	а вот и
341	19	ты же не
342	19	внутри у него
343	19	а ты не
344	19	и в конце
345	19	взад и вперед
346	19	в голову не
347	19	еще не видел
348	19	он взглянул на
349	19	это не я
350	19	знал что ты
351	19	и увидел как
352	19	не в том
353	19	мы с ним
354	19	так что он
355	19	и вошли в
356	19	вместе с ним
357	19	смотрели на него
358	19	в запретном лесу
359	19	как вы думаете
360	19	с таким видом
361	19	не стал бы
362	19	он ни разу
363	19	вместе со всеми
364	19	посмотрела на него
365	19	его за руку
366	19	у нее на
367	19	с волшебной палочкой
368	19	как будто не
369	19	на нее с
370	19	он не может
371	19	в тот момент
372	19	я как раз
373	19	к нему в
374	19	после того что
375	19	за ним и
376	19	он хотел чтобы
377	19	вышел из комнаты
378	19	на его лице
379	19	у него все
380	19	я уверен что
381	19	у нас в
382	19	в больничном крыле
383	18	команды по квиддичу
384	18	и уставился на
385	18	то что они
386	18	там не было
387	18	рано или поздно
388	18	может быть и
389	18	я этого не
390	18	шрам на лбу
391	18	не заметил как
392	18	он решил что
393	18	и я не
394	18	он так и
395	18	я имею в
396	18	у тебя есть
397	18	не знаю ответил
398	18	что с ней
399	18	у не было
400	18	вытащил из кармана
401	18	с ним не
402	18	и что же
403	18	в свое время
404	18	на него не
405	18	ни при чем
406	18	глядя на нее
407	18	это значит что
408	18	было все равно
409	18	сжимая в руке
410	18	в следующую секунду
411	18	что никто не
412	18	в разные стороны
413	18	с ним все
414	18	в мгновение ока
415	18	он увидел что
416	18	и когда они
417	18	то есть я
418	18	и не знал
419	18	повернулся к и
420	18	они вошли в
421	18	и что он
422	18	никто не знает
423	18	мантию невидимку и
424	18	и никто не
425	18	всякий раз как
426	17	мы с вами
427	17	в третий раз
428	17	упал на пол
429	17	и взглянул на
430	17	по уходу за
431	17	и то же
432	17	если бы ты
433	17	что он и
434	17	на следующий день
435	17	того что он
436	17	как раз вовремя
437	17	рядом с ней
438	17	если я не
439	17	может быть это
440	17	и прежде чем
441	17	но не мог
442	17	со всех ног
443	17	он думал что
444	17	у тебя на
445	17	ничего не сказал
446	17	что если он
447	17	рядом с ними
448	17	на змеином языке
449	17	у нее в
450	17	бы там ни
451	17	посмотрел на нее
452	17	не знаю как
453	17	это было бы
454	17	себя в руки
455	17	а что это
456	17	но ничего не
457	17	ты думаешь что
458	17	я видел как
459	17	и подошел к
460	17	мы знаем что
461	17	уверен что это
462	17	в руках и
463	17	от боли и
464	17	что на него
465	17	я в этом
466	17	так быстро что
467	17	я должен был
468	17	протянул руку и
469	17	сказал когда они
470	17	поднял глаза на
471	17	не очень то
472	17	вот это да
473	17	спросил когда они
474	16	в ответ на
475	16	ну что же
476	16	ни с кем
477	16	свою волшебную палочку
478	16	на нее и
479	16	ничего не произошло
480	16	он не смог
481	16	а тем временем
482	16	ты не можешь
483	16	сделал вид что
484	16	ты что не
485	16	не был уверен
486	16	он даже не
487	16	за угол и
488	16	ничего и не
489	16	был не в
490	16	так что же
491	16	он не был
492	16	в эту минуту
493	16	с ним в
494	16	и как только
495	16	мне очень жаль
496	16	как у него
497	16	о чем не
498	16	они только что
499	16	в шагах от
500	16	и знал что
501	16	во все глаза
502	16	и теперь он
503	16	в руке и
504	16	в тот раз
505	16	быть не может
506	16	не то что
507	16	никогда не было
508	16	волшебной палочкой в
509	16	никогда раньше не
510	16	понятия не имел
511	16	сбитый с толку
512	16	все еще не
513	16	стало ясно что
514	16	и в тот
515	16	так оно и
516	16	в тот вечер
517	16	в их сторону
518	16	тот момент когда
519	15	да и вообще
520	15	руки и ноги
521	15	он и сам
522	15	по лестнице в
523	15	он открыл глаза
524	15	открыл глаза и
525	15	головы до ног
526	15	ему не хотелось
